Platanus|Platanaceae
Acer|Sapindaceae
Tilia|Malvaceae
Gleditsia|Fabaceae
Koelreuteria|Sapindaceae
Fraxinus|Oleaceae
Aesculus|Sapindaceae
Celtis|Cannabaceae
Populus|Salicaceae
Juglans|Juglandaceae
Robinia|Fabaceae
Carya|Juglandaceae
Cedrus|Pinaceae
Quercus|Fagaceae
Prunus|Rosaceae
Sequoiadendron|Cupressaceae
Fagus|Fagaceae
Sophora|Fabaceae
Taxus|Taxaceae
Ostrya|Betulaceae
Ulmus|Ulmaceae
Pinus|Pinaceae
Ailanthus|Simaroubaceae
Liriodendron|Magnoliaceae
Carpinus|Betulaceae
Catalpa|Bignoniaceae
Cercidiphyllum|Cercidiphyllaceae
Paulownia|Paulowniaceae
Crataegus|Rosaceae
Pterocarya|Juglandaceae
Toona|Meliaceae
Alnus|Betulaceae
Parrotia|Hamamelidaceae
Corylus|Betulaceae
Betula|Betulaceae
Cornus|Cornaceae
Taxodium|Cupressaceae
Malus|Rosaceae
Sciadopitys|Sciadopityaceae
Salix|Salicaceae
Sorbus|Rosaceae
Euodia|Rutaceae
Sambucus|Adoxaceae
Gymnocladus|
Liquidambar|Altingiaceae
Magnolia|Magnoliaceae
Lagerstroemia|Lythraceae
Albizia|Fabaceae
Cercis|Fabaceae
Ginkgo|Ginkgoaceae
Abies|Pinaceae
Picea|Pinaceae
Thuja|Cupressaceae
Chamaecyparis|Cupressaceae
Cladrastis|
Pyrus|Rosaceae
Zelkova|Ulmaceae
Metasequoia|Cupressaceae
Larix|Pinaceae
Morus|Moraceae
Maclura|Moraceae
Castanea|Fagaceae
Cydonia|Rosaceae
Ilex|Aquifoliaceae
Buxus|Buxaceae
Caragana|Fabaceae
Syringa|Oleaceae
Hovenia|Rhamnaceae
Juniperus|Cupressaceae
Laburnum|Fabaceae
Arbutus|Ericaceae
Hippophae|Elaeagnaceae
Torreya|Taxaceae
Phellodendron|Rutaceae
Platycladus|Cupressaceae
Calocedrus|Cupressaceae
Sequoia|Cupressaceae
Nyssa|Cornaceae
Xanthoceras|Xanthoceraceae
Broussonetia|Moraceae
Nothofagus|
Tsuga|Pinaceae
unbekannt|
Davidia|Nyssaceae
Pseudotsuga|Pinaceae
Mespilus|
Diospyros|Ebenaceae
Sailx|Salicaceae
Cupressus|Cupressaceae
Elaeagnus|Elaeagnaceae
Ptelea|
Chitalpa|Bignoniaceae
Thujopsis|Cupressaceae
Amelanchier|Rosaceae
Ziziphus|Rhamnaceae
Maackia|
Cryptomeria|Cupressaceae
Cupressocyparis|
Trachycarpus|Arecaceae
Styphnolobium|Fabaceae
Sycoparrotia|
